BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
1,1262,1281,20,103034522,105191465,103,1.17306
10,14449,14468,20,89587249,90543010,89,0.65257
7,9667,9686,20,21347602,22920391,21,0.63795
16,20626,20645,20,50281187,51520569,50,0.56526
23,26261,26280,20,15375447,17013312,15,0.53243
17,21639,21658,20,49531815,52740918,49,0.4728
22,25612,25631,20,23214897,24462555,23,0.46468
1,1287,1306,20,105810391,107217357,105,0.45758
7,9643,9662,20,19528939,20771979,19,0.452
14,18388,18407,20,23571854,25612510,23,0.45143
10,14330,14349,20,81091156,82546242,81,0.44911
26,28536,28555,20,35360458,37336603,35,0.43487
16,20592,20611,20,47268530,48627347,47,0.39875
1,1156,1175,20,95279975,96942516,95,0.39115
14,18905,18924,20,67593766,69058558,67,0.38613
7,10128,10147,20,57554684,58902375,57,0.38013
10,14424,14443,20,88035301,89136731,88,0.37238
8,11110,11129,20,27295189,28799249,27,0.37045
22,25655,25674,20,27309084,29101885,27,0.36603
1,875,894,20,71370844,73106447,71,0.366
5,6611,6630,20,1087211,2027232,1,0.36503
6,8349,8368,20,38286952,39371150,38,0.36232
24,27026,27045,20,25025130,26760851,25,0.36139
10,14003,14022,20,49480741,50918709,49,0.35562
11,15582,15601,20,73068822,75471064,73,0.35558
19,23518,23537,20,59147851,60078948,59,0.34866
1,111,130,20,8437530,9942902,8,0.33447
28,29396,29415,20,5462329,7001292,5,0.33019
14,18645,18664,20,47686253,48858864,47,0.32929
4,5774,5793,20,56875012,58115832,56,0.32912
1,151,170,20,13376687,15528039,13,0.32907
23,26675,26694,20,49476179,50599646,49,0.32696
2,2592,2611,20,46838331,49095661,46,0.32071
3,4240,4259,20,61894582,63136013,61,0.31302
14,18421,18440,20,26264142,27360366,26,0.31217
29,30489,30508,20,46883278,48054630,46,0.30541
19,22951,22970,20,16874635,18187824,16,0.3044
9,12656,12675,20,38992847,41209760,38,0.29968
20,23763,23782,20,11259370,12321078,11,0.29938
8,10855,10874,20,4988343,6498656,4,0.29388
14,18019,18038,20,1463676,2674264,1,0.29082
26,28600,28619,20,41441550,42673967,41,0.27985
7,9617,9636,20,17490481,18817678,17,0.27429
10,14059,14078,20,53351901,54766746,53,0.26857
1,829,848,20,67792994,69070681,67,0.26295
26,28567,28586,20,38060272,39931707,38,0.26151
12,16204,16223,20,20866586,23340411,20,0.26135
13,17880,17899,20,75122713,76371179,75,0.25537
10,14500,14519,20,92127288,93781226,92,0.25442
5,7773,7792,20,111709914,112912918,111,0.24531
16,20572,20591,20,44991382,47166105,44,0.24417
4,6028,6047,20,76123840,77796085,76,0.24407
10,14639,14658,20,103048273,104136694,103,0.24265
15,19602,19621,20,42261266,43538866,42,0.23857
16,20252,20271,20,15922964,18059649,15,0.23648
2,3287,3306,20,113483502,114477377,113,0.23602
4,6491,6510,20,113584923,115203840,113,0.23545
14,18107,18126,20,6112676,6859824,6,0.23368
17,21605,21624,20,46558798,47926452,46,0.22779
28,29888,29907,20,44022923,45240243,44,0.22505
15,19296,19315,20,20795418,22110768,20,0.22486
1,691,710,20,57341049,59509438,57,0.22357
7,10766,10785,20,111106929,111931788,111,0.22323
5,7064,7083,20,41143539,42775818,41,0.22281
24,26804,26823,20,5828401,7286128,5,0.2205
4,5638,5657,20,45577225,47137606,45,0.21941
1,728,747,20,60753573,61652849,60,0.21809
5,7295,7314,20,67948150,69453205,67,0.21766
11,15150,15169,20,32153221,33464088,32,0.2176
26,28659,28678,20,45566286,46949271,45,0.21759
4,6195,6214,20,90056905,91558419,90,0.21664
