BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
4,5774,5793,20,56875012,58115832,56,1.0145
1,1261,1280,20,102975544,104344681,102,0.83491
12,16346,16365,20,35886159,39538392,35,0.59362
26,28550,28569,20,36938045,38147375,36,0.55735
10,14331,14350,20,81113308,82579290,81,0.53909
6,8009,8028,20,10295237,11301952,10,0.51783
13,17054,17073,20,8956466,10255498,8,0.51623
14,18019,18038,20,1463676,2674264,1,0.45974
1,1164,1183,20,95819377,97458910,95,0.45085
13,17502,17521,20,46605539,47485051,46,0.42256
8,11686,11705,20,73881694,75392377,73,0.41709
5,7380,7399,20,74551645,76019053,74,0.41692
4,5112,5131,20,4767650,6696030,4,0.39568
15,19919,19938,20,70232713,71274324,70,0.39438
20,23890,23909,20,21073349,23029920,21,0.38839
1,413,432,20,35952652,37174447,35,0.37701
2,2466,2485,20,34118200,35827910,34,0.37629
8,11477,11496,20,55505902,56954830,55,0.37174
6,9247,9266,20,107086553,108257168,107,0.37022
20,24403,24422,20,65160565,66479425,65,0.36851
17,21639,21658,20,49531815,52740918,49,0.35909
2,3287,3306,20,113483502,114477377,113,0.35572
8,11730,11749,20,77052419,78482209,77,0.35437
1,1144,1163,20,94512100,95750768,94,0.34954
11,14897,14916,20,14334520,15919622,14,0.34727
13,17268,17287,20,28095457,29577577,28,0.3465
12,16287,16306,20,29831757,31639399,29,0.34581
2,3001,3020,20,80369206,84170290,80,0.34242
19,23270,23289,20,42776646,44403315,42,0.34203
14,18383,18402,20,23347427,25351733,23,0.33746
13,17555,17574,20,51212055,52708811,51,0.33527
9,13040,13059,20,74848962,76527168,74,0.33338
4,5707,5726,20,50547931,52337891,50,0.32928
5,7468,7487,20,82466920,84191490,82,0.32843
4,6247,6266,20,93644011,94973039,93,0.32143
9,13270,13289,20,94154628,95450193,94,0.31984
19,23319,23338,20,46044695,47747001,46,0.31516
16,20592,20611,20,47268530,48627347,47,0.30917
23,26389,26408,20,26736263,28311070,26,0.30914
23,26145,26164,20,7490054,9104671,7,0.30374
14,18473,18492,20,29680105,31242174,29,0.29958
10,14408,14427,20,86615332,88202054,86,0.29459
4,6336,6355,20,101561940,103154723,101,0.29249
28,29396,29415,20,5462329,7001292,5,0.29108
11,15347,15366,20,50431031,54193489,50,0.29038
11,15434,15453,20,60377158,62067321,60,0.28756
10,14297,14316,20,78044879,80181163,78,0.28706
20,24241,24260,20,53449585,55372193,53,0.28691
17,21722,21741,20,57284351,58907025,57,0.28232
2,2442,2461,20,32214197,33966115,32,0.28211
27,29051,29070,20,24539434,25728096,24,0.28202
16,20563,20582,20,43810410,46213318,43,0.28092
1,1198,1217,20,98274088,99552129,98,0.27523
13,17481,17500,20,45582166,46543726,45,0.272
3,3957,3976,20,34421834,36531738,34,0.27198
13,16967,16986,20,1559165,2456626,1,0.2716
16,20256,20275,20,16270589,18494934,16,0.26708
3,4432,4451,20,76406790,77846465,76,0.26696
2,2895,2914,20,71132639,72632052,71,0.26644
8,11707,11726,20,75759261,76827725,75,0.26234
8,11431,11450,20,52204929,53405158,52,0.25827
14,18765,18784,20,56968450,58262807,56,0.25801
11,15814,15833,20,95543411,97160473,95,0.25523
21,24809,24828,20,27087855,28612871,27,0.25355
24,26976,26995,20,20765626,21980450,20,0.25302
21,24894,24913,20,35031735,36843951,35,0.2523
2,2559,2578,20,42986890,45379047,42,0.25018
4,5733,5752,20,53007008,54781445,53,0.24974
12,16236,16255,20,25066554,27310922,25,0.24776
2,2713,2732,20,55729126,56895186,55,0.24757
16,20626,20645,20,50281187,51520569,50,0.24609
6,7979,7998,20,7662835,9228072,7,0.246
10,14509,14528,20,93246483,94165355,93,0.24489
17,21689,21708,20,55637193,56625212,55,0.24186
9,12601,12620,20,34176604,35516891,34,0.23727
8,11828,11847,20,84797018,86283449,84,0.23501
14,18331,18350,20,19316702,20606100,19,0.23501
1,1698,1717,20,138243679,139381706,138,0.23478
1,1103,1122,20,90637000,91840712,90,0.2329
19,22948,22967,20,16779459,17964542,16,0.23131
22,25933,25952,20,52008267,53348693,52,0.23108
19,23076,23095,20,26848767,28768067,26,0.2303
9,13138,13157,20,83664370,85975684,83,0.22748
10,14436,14455,20,88754402,89826995,88,0.22616
8,10848,10867,20,4477531,5792067,4,0.22603
27,29260,29279,20,39612032,41297038,39,0.22423
8,11880,11899,20,88464533,89859523,88,0.22194
11,15147,15166,20,31815858,33236456,31,0.22147
16,20508,20527,20,37982355,40001986,37,0.22128
1,846,865,20,68891058,70191957,68,0.21939
10,14004,14023,20,49503411,51037416,49,0.21602
13,17365,17384,20,36480046,38217833,36,0.21516
17,21759,21778,20,59970299,61522805,59,0.21473
13,17646,17665,20,58456868,59537585,58,0.21227
1,875,894,20,71370844,73106447,71,0.2104
16,20482,20501,20,36415574,37334918,36,0.2099
4,5085,5104,20,1343568,4138532,1,0.20982
3,4241,4260,20,61979252,63196635,61,0.20978
17,21664,21683,20,53455368,55248967,53,0.20958
21,24918,24937,20,37065628,38332114,37,0.20934
25,27741,27760,20,18029588,20233535,18,0.20792
16,20872,20891,20,70220110,71944945,70,0.20769
4,6183,6202,20,89380482,90729174,89,0.20754
8,11629,11648,20,68501738,70093416,68,0.20558
4,5638,5657,20,45577225,47137606,45,0.20498
8,11351,11370,20,47092657,48213829,47,0.20265
7,9762,9781,20,28006905,28920128,28,0.20001
8,11851,11870,20,86501009,87628120,86,0.19933
12,16316,16335,20,33190833,34960812,33,0.19348
24,27076,27095,20,28853585,29712858,28,0.19324
23,26409,26428,20,28598059,30711619,28,0.19284
21,24582,24601,20,9465131,10521228,9,0.19281
26,28624,28643,20,42959100,44238995,42,0.19188
1,1644,1663,20,134090244,135491887,134,0.18859
1,1825,1844,20,147421398,148388848,147,0.18791
29,30000,30019,20,7025142,8814793,7,0.1875
1,942,961,20,78034231,79629427,78,0.18726
25,27542,27561,20,3801478,5232320,3,0.18661
3,4369,4388,20,69905106,71596348,69,0.18557
21,25144,25163,20,57603552,59368115,57,0.18528
4,5819,5838,20,59744707,61234542,59,0.18492
2,2373,2392,20,28462521,29335326,28,0.18468
19,23505,23524,20,58226592,59479510,58,0.18282
6,9026,9045,20,93137474,94439594,93,0.18245
26,28495,28514,20,32213121,33605534,32,0.18238
2,3110,3129,20,95752707,98268164,95,0.18072
2,3538,3557,20,133504852,134632287,133,0.17867
15,20001,20020,20,75863003,76825757,75,0.17844
2,3565,3584,20,135096060,135879731,135,0.17826
2,2195,2214,20,15652034,17278352,15,0.17709
28,29747,29766,20,34021273,35076001,34,0.17495
7,9991,10010,20,44490836,46354401,44,0.17359
19,23536,23555,20,60044907,61166436,60,0.17176
12,16897,16916,20,87266494,88638167,87,0.17138
2,2979,2998,20,78455930,80133105,78,0.16986
13,17935,17954,20,78858126,79966199,78,0.16968
12,15992,16011,20,2709896,3812242,2,0.16957
22,25612,25631,20,23214897,24462555,23,0.16949
24,27217,27236,20,38640377,40286590,38,0.16739
16,20387,20406,20,30085992,31011092,30,0.16733
1,488,507,20,41732937,43067020,41,0.16656
3,4395,4414,20,72519744,74919850,72,0.16635
3,3720,3739,20,11105182,13657562,11,0.16551
26,28651,28670,20,44810685,46101773,44,0.16414
11,15695,15714,20,84083499,86497486,84,0.16412
11,15583,15602,20,73150873,75564305,73,0.16311
13,17077,17096,20,10663054,13013693,10,0.16254
4,5385,5404,20,24361239,25681590,24,0.16228
8,11649,11668,20,70145158,72395359,70,0.16223
14,18964,18983,20,72764713,74414864,72,0.16064
4,5678,5697,20,48775246,49857470,48,0.16057
6,9086,9105,20,97475077,98542781,97,0.1605
8,11955,11974,20,94358932,95603538,94,0.16033
11,14729,14748,20,3765380,5060899,3,0.15915
18,22297,22316,20,25090118,26380950,25,0.15821
16,20330,20349,20,24014992,26613598,24,0.15719
21,25275,25294,20,68846429,70294301,68,0.15684
29,30053,30072,20,10850452,12241827,10,0.15672
14,18501,18520,20,31785149,33918070,31,0.15645
1,1792,1811,20,145009246,146455377,145,0.15636
21,24845,24864,20,30255230,31492233,30,0.15619
5,6949,6968,20,29989860,32502917,29,0.15572
3,3596,3615,20,306322,1779182,0,0.15561
7,9617,9636,20,17490481,18817678,17,0.15558
11,14841,14860,20,10557842,11994246,10,0.15502
1,581,600,20,48105788,50077376,48,0.15491
9,12579,12598,20,32606924,34050782,32,0.15464
7,10378,10397,20,77572670,79431788,77,0.15348
26,28451,28470,20,29487603,30573598,29,0.1533
2,2598,2617,20,47289064,50069820,47,0.15296
13,16988,17007,20,2606402,4115711,2,0.15255
4,5753,5772,20,54903404,56691893,54,0.15242
26,28328,28347,20,19605912,21180893,19,0.15145
23,26217,26236,20,12838486,14123921,12,0.15138
19,22858,22877,20,9485862,11833182,9,0.15086
11,15718,15737,20,86779385,87824167,86,0.1505
16,20905,20924,20,73024176,74283537,73,0.14895
6,8554,8573,20,51553185,52793934,51,0.14847
9,12425,12444,20,19937462,21490009,19,0.14816
4,6276,6295,20,95506576,96825993,95,0.1479
1,1326,1345,20,108864882,109869888,108,0.14753
13,17171,17190,20,19283942,20584188,19,0.14715
16,20351,20370,20,26736540,28006296,26,0.147
15,19259,19278,20,16416329,18507545,16,0.14691
7,9961,9980,20,41875877,43479777,41,0.14665
4,5903,5922,20,66421522,67822341,66,0.14654
11,14995,15014,20,21496394,22588525,21,0.14504
12,16613,16632,20,60012041,62028176,60,0.14483
4,6502,6521,20,114713614,116013931,114,0.14451
20,23924,23943,20,24266877,25689084,24,0.1411
6,8715,8734,20,64514509,66209350,64,0.14033
7,9874,9893,20,35841692,37289420,35,0.14032
1,747,766,20,61652849,63159279,61,0.13906
28,29659,29678,20,26689199,27564486,26,0.13892
11,15043,15062,20,24102073,26067871,24,0.13871
6,7932,7951,20,3032658,4310838,3,0.13705
3,4047,4066,20,43031873,44901462,43,0.1368
4,5610,5629,20,43175304,44884299,43,0.13654
13,17461,17480,20,44012475,45554661,44,0.13628
9,12548,12567,20,30175954,31810537,30,0.13579
26,28094,28113,20,1272307,3475031,1,0.13435
19,23245,23264,20,41245524,42560642,41,0.13393
25,27969,27988,20,34565592,35713510,34,0.13329
7,10349,10368,20,75336419,76719459,75,0.13299
16,21000,21019,20,79106799,80527514,79,0.13234
4,5324,5343,20,20166130,21063597,20,0.13222
9,12522,12541,20,27965979,29698883,27,0.13192
25,27887,27906,20,30116355,31319452,30,0.13122
12,16264,16283,20,28052265,29422204,28,0.1312
8,12011,12030,20,98299383,100031298,98,0.13106
1,826,845,20,67491689,68579776,67,0.13104
28,29525,29544,20,15502546,16540309,15,0.13072
17,21941,21960,20,71058543,72084838,71,0.13016
10,13773,13792,20,29209932,31442937,29,0.13015
14,18409,18428,20,25698286,26766010,25,0.13009
2,2649,2668,20,52176845,53431931,52,0.13007
20,24176,24195,20,46735404,48655169,46,0.1288
16,20656,20675,20,52975189,54368248,52,0.1281
11,15758,15777,20,89880876,91680069,89,0.12792
12,16371,16390,20,40331755,43866499,40,0.12761
21,24560,24579,20,7694470,9318083,7,0.12683
4,6389,6408,20,106193024,107668131,106,0.12624
13,17780,17799,20,67780665,69248366,67,0.12589
1,1725,1744,20,140149026,141713896,140,0.12526
13,17965,17984,20,80563915,81665695,80,0.12512
14,18732,18751,20,54164119,55855832,54,0.12486
21,24729,24748,20,21017358,22012794,21,0.12412
1,1864,1883,20,149901682,151518122,149,0.12381
7,10766,10785,20,111106929,111931788,111,0.12369
8,10817,10836,20,1554790,3771879,1,0.12327
2,2022,2041,20,1865988,3407803,1,0.12271
20,23850,23869,20,17915319,19291232,17,0.12241
1,1288,1307,20,105884830,107384385,105,0.12238
26,28694,28713,20,48300208,49736388,48,0.12221
3,3918,3937,20,31468383,32988739,31,0.12181
9,12274,12293,20,5747133,8189195,5,0.12156
1,1241,1260,20,101188217,102903978,101,0.12117
1,559,578,20,46402519,47945210,46,0.12107
18,22752,22771,20,64382705,65672008,64,0.12089
7,10034,10053,20,47837778,49242955,47,0.12088
11,14935,14954,20,17238549,18480826,17,0.12067
2,2352,2371,20,27450149,28418159,27,0.12064
27,28843,28862,20,11365955,12354872,11,0.12037
11,14676,14695,20,1095830,2072805,1,0.1202
24,27237,27256,20,40370501,41694223,40,0.12004
18,22504,22523,20,42187823,43470260,42,0.11983
17,21807,21826,20,63140712,64576912,63,0.1198
8,11324,11343,20,45099416,46041080,45,0.11978
5,6831,6850,20,16522966,19983794,16,0.11948
28,29809,29828,20,38449335,40343865,38,0.11947
5,7446,7465,20,79770759,82335857,79,0.11933
23,26087,26106,20,2612973,4261877,2,0.11933
15,19741,19760,20,55660429,57470559,55,0.11904
26,28530,28549,20,34821636,36905943,34,0.11864
2,2502,2521,20,37584534,39195410,37,0.11827
2,2166,2185,20,13800470,15021561,13,0.11804
6,8435,8454,20,43274120,44545708,43,0.11754
10,14577,14596,20,98548526,99797336,98,0.11713
11,15846,15865,20,98164828,99851239,98,0.117
12,16848,16867,20,84095269,85500588,84,0.11652
15,20024,20043,20,77046320,78966608,77,0.11651
13,17736,17755,20,64840460,65855988,64,0.11624
6,9332,9351,20,112204503,113194494,112,0.11603
6,7957,7976,20,4548788,7514029,4,0.11589
23,26122,26141,20,5212261,7276902,5,0.11544
23,26653,26672,20,48197978,49283896,48,0.11537
8,11263,11282,20,40254102,41527418,40,0.11516
9,12965,12984,20,66693686,69314521,66,0.115
21,24766,24785,20,22961561,25007400,22,0.11481
1,242,261,20,22110938,23649052,22,0.11439
7,9452,9471,20,863880,2391922,0,0.11405
2,2242,2261,20,19672383,21290918,19,0.11386
17,21205,21224,20,12819130,14681821,12,0.11371
3,5051,5070,20,118671665,120793177,118,0.11321
7,9665,9684,20,21146198,22681472,21,0.11317
26,28119,28138,20,3955269,5610648,3,0.11268
4,5199,5218,20,10883984,11811405,10,0.11266
2,2317,2336,20,24905225,26592749,24,0.11207
24,27412,27431,20,57482936,58983505,57,0.11114
16,20852,20871,20,68889225,70155204,68,0.11101
4,6463,6482,20,112164314,113053683,112,0.1109
3,4537,4556,20,84150653,85355582,84,0.11084
1,1968,1987,20,156993660,158037465,156,0.11072
27,29117,29136,20,29934809,31286174,29,0.11007
14,18553,18572,20,37615335,41095252,37,0.10879
4,5873,5892,20,63349293,65400608,63,0.10799
28,29597,29616,20,21101833,22941657,21,0.10765
13,17026,17045,20,5827434,8165260,5,0.10744
9,12646,12665,20,38252618,40256749,38,0.10719
20,23959,23978,20,27833489,29373244,27,0.10715
10,13716,13735,20,21571180,26431631,21,0.10691
11,15880,15899,20,100788847,102178546,100,0.10688
4,6224,6243,20,92176712,93058106,92,0.10669
27,29225,29244,20,37315792,38568007,37,0.10606
4,5841,5860,20,61444963,62570795,61,0.10591
18,22718,22737,20,60319267,62999282,60,0.1058
22,25746,25765,20,36866292,38727002,36,0.10539
4,5460,5479,20,29897534,32013318,29,0.10524
4,5794,5813,20,58349221,59327227,58,0.10522
5,7003,7022,20,35076006,37273786,35,0.10464
21,24997,25016,20,43304015,44981955,43,0.10459
2,2123,2142,20,9245063,11605232,9,0.10443
3,4208,4227,20,59859138,60982148,59,0.10372
26,28430,28449,20,27942008,29287851,27,0.1037
9,12358,12377,20,14216589,15640590,14,0.10348
13,17525,17544,20,47879982,49700244,47,0.10267
28,29363,29382,20,2313753,4493022,2,0.10259
11,15278,15297,20,44611943,46143526,44,0.10249
3,4828,4847,20,103021431,105043063,103,0.10237
3,4288,4307,20,65362228,66402051,65,0.10226
12,16129,16148,20,14724296,16035681,14,0.1013
25,28053,28072,20,40553104,41624510,40,0.10055
22,25885,25904,20,47721961,48904665,47,0.10054
19,23465,23484,20,55871365,56955428,55,0.10032
9,13234,13253,20,91459477,92685796,91,0.10002
21,24509,24528,20,2690162,4281411,2,0.09941
10,14357,14376,20,83389165,84612420,83,0.0991
12,16216,16235,20,22664255,24983974,22,0.09909
18,22051,22070,20,4899308,6372346,4,0.09905
17,21844,21863,20,65447238,66206057,65,0.09903
23,26369,26388,20,23692539,25642674,23,0.09869
1,625,644,20,52676405,54032055,52,0.09863
16,20309,20328,20,21289097,23328862,21,0.09852
28,29475,29494,20,10880155,13353747,10,0.09849
15,19943,19962,20,71439103,73304557,71,0.09843
20,24220,24239,20,51143018,53138554,51,0.0982
7,10128,10147,20,57554684,58902375,57,0.09817
14,18646,18665,20,47770268,48890778,47,0.09811
9,12937,12956,20,64262480,65508867,64,0.09783
6,8738,8757,20,66362612,67213645,66,0.09778
25,27804,27823,20,23509298,25035637,23,0.09759
22,25532,25551,20,16661066,17947543,16,0.09756
26,28672,28691,20,46366100,48120342,46,0.09751
20,24151,24170,20,44892168,46296840,44,0.09735
11,15126,15145,20,30551963,31571537,30,0.09662
13,17288,17307,20,29647662,31177467,29,0.09637
4,6420,6439,20,108446002,110776624,108,0.09596
29,30303,30322,20,31899837,33329702,31,0.09582
12,16739,16758,20,70092297,77695384,70,0.0958
11,14966,14985,20,19644044,20960589,19,0.09574
8,11393,11412,20,50019163,51045299,50,0.09571
3,4905,4924,20,108528219,109821597,108,0.09559
22,25421,25440,20,8355726,9781519,8,0.0954
27,28779,28798,20,3679178,6901933,3,0.09482
7,9819,9838,20,31921125,33367322,31,0.09481
10,14488,14507,20,91520748,93019985,91,0.09478
14,18802,18821,20,59539237,60743292,59,0.09461
15,19401,19420,20,27444730,28760415,27,0.09422
23,26627,26646,20,46672013,47734120,46,0.09395
23,26338,26357,20,21142452,22683246,21,0.09342
8,11798,11817,20,82311830,84178715,82,0.09246
17,21581,21600,20,45145609,46391190,45,0.09245
23,26429,26448,20,30735804,32191396,30,0.09242
5,7262,7281,20,63899453,66083568,63,0.09236
11,14804,14823,20,8284491,9420152,8,0.09216
2,3310,3329,20,114710664,116210744,114,0.09212
29,30246,30265,20,27965621,29052623,27,0.09212
9,13300,13319,20,96030427,97521014,96,0.09169
21,25175,25194,20,60553762,62502588,60,0.09119
10,13565,13584,20,12224784,13194173,12,0.09085
5,6903,6922,20,25738874,27498349,25,0.09079
8,10881,10900,20,7337016,8818881,7,0.09072
16,20430,20449,20,32517229,33899133,32,0.09046
6,8612,8631,20,55545104,56952870,55,0.09038
14,18222,18241,20,11466299,12312615,11,0.08996
15,19615,19634,20,42949577,44254734,42,0.08984
24,27434,27453,20,59409204,61086641,59,0.08978
6,8084,8103,20,14814828,16085913,14,0.08961
3,3978,3997,20,36849233,39273428,36,0.08922
24,27346,27365,20,51454276,53195202,51,0.0892
8,12186,12205,20,111691426,112824694,111,0.08918
24,27194,27213,20,37098714,38227107,37,0.08888
5,7173,7192,20,51732343,54477274,51,0.08865
11,15377,15396,20,55170733,57078447,55,0.08849
14,18137,18156,20,7342696,8207783,7,0.08812
7,10284,10303,20,69776569,72192173,69,0.08777
8,11196,11215,20,34847992,36687139,34,0.08765
9,13064,13083,20,77095410,80015418,77,0.08749
4,6045,6064,20,77697936,79737033,77,0.08728
10,13491,13510,20,5598788,7329188,5,0.08726
